latitude,longitude
42.0311,-78.67215
43.10645,-80.2855
39.52765,-76.34025
36.0449,-81.898
43.2176,-79.76695
43.2176,-79.76695
33.98445,-84.2499
40.6439,-80.56065
38.5505,-90.4153
40.64055,-74.29505
35.8725,-78.761
35.8725,-78.761
42.8341,-80.1493
33.991,-83.4954
39.0941,86.44765
39.8175,-74.5353
